Time_Lag_s,MSD_mean_px2,MSD_fit_px2,Residuals_px2,MSD_data1_particle2_data1.txt,MSD_data1_tracking_particle_1_data1.txt,MSD_data10_particle1_data10.txt,MSD_data10_particle2data10.txt,MSD_data2_data2_particl2_data2.txt,MSD_data2_data2_particle_1_data2.txt,MSD_data3_data3_particl2_data3.txt,MSD_data3_data3_particle1_data3.txt,MSD_data4_data4_particl1_data4.txt,MSD_data4_data4_particl2_data4.txt,MSD_data5_part2_3_data5.txt,MSD_data5_particle1_data5.txt,MSD_data6_particle1_data6.txt,MSD_data6_particle_2_3_data6.txt,MSD_data7_particl2_data7.txt,MSD_data7_particle1_data7.txt,MSD_data8_particle2_data8.txt,MSD_data8_particle_1_data8.txt,MSD_data9-g_data9_particl2_data9.txt,MSD_data9-g_data9_particle1_data9.txt
8.5,14640.93941759569,14558.371263428671,82.56815416701829,192.8710153846153,516.6735844660193,425.1788485436893,2910.296744230769,342.5913759615392,2588.3500980582526,356.7941855769229,1156.7770271844663,1194.2261922330097,352.6348673076924,887.6529048076925,1280.5481961165046,728.5690582524273,1760.9385701923077,276905.97644134617,260.5382834951459,209.8025432692308,421.97993203883505,173.76470480769234,152.6237786407767
9.0,15527.116245978967,15316.090590645103,211.02565533386405,206.7767398058252,564.4690264705882,466.0586784313725,2936.4261873786404,366.1497436893211,2746.098249019608,380.8872155339806,1280.396597058823,1321.7901833333333,375.70125922330107,814.1956310679616,1425.783261764706,802.0508509803922,1732.0558708737865,293843.56922038837,278.3181078431375,215.86495145631065,444.22091470588236,183.06778349514556,158.4444470588235
9.5,16418.885956190057,16073.809917861532,345.0760383285251,220.35564019607844,619.0013148514851,510.1678524752477,2977.7626774509804,393.0670362745106,2859.4844465346528,417.07763627451,1412.1864445544554,1456.5226099009901,404.14820882352956,898.0645901960786,1579.3253673267327,885.0679663366336,1696.7730078431375,310720.22058137256,295.01943861386167,216.4399,457.2910574257425,191.00221764705887,168.74112970297037
10.0,17346.418863605446,16831.529245077963,514.8896185274825,231.57848613861384,679.6766699999998,554.9599119999999,3031.6483287128713,420.74900297029797,2994.7012860000004,445.4675544554457,1547.27767,1603.5980980000004,432.7096574257427,868.0157029702973,1747.9200939999998,972.3001590000001,1651.313110891089,328365.1117267327,311.6469630000002,217.42897425742572,471.865111,200.10364455445566,180.30512000000013
10.5,18295.08153799798,17589.248572294393,705.8329657035865,242.85205499999995,743.6534616161615,604.6030969696968,3143.1542019999997,448.5056780000006,3206.855985858586,488.8237360000002,1697.4748949494942,1754.4138727272725,451.9664170000003,886.0137860000004,1922.527857575758,1063.091322222222,1612.453873,346175.036511,329.4598010101012,240.39885400000003,489.7868373737374,208.81225200000014,191.74626565656578
11.0,19261.50027762884,18346.967899510826,914.5323781180123,254.74494040404034,811.5297581632655,654.7414928571428,3212.2155070707067,472.4677131313137,3288.5438897959184,525.3377,1853.4345091836733,1909.8866571428573,478.4016444444447,872.5132525252526,2101.5520316326533,1157.7349989795919,1571.7093616161617,364537.64817272726,347.1870346938779,256.956602020202,509.27285918367346,213.1509535353536,200.97647346938783
11.5,20251.714731304965,19104.687226727256,1147.027504577709,269.9697581632653,876.414806185567,709.5296371134019,3286.786405102041,492.35070918367416,3349.8456927835055,560.8203877551022,2019.0906721649487,2075.2232030927835,499.47302959183696,908.7961459183676,2282.762251546392,1260.4973422680412,1527.8913724489794,383321.21851530613,364.75348556701056,263.70080204081637,524.2641030927836,226.68494285714291,214.22136391752582
12.0,21244.544358922896,19862.406553943685,1382.137804979211,290.83466494845356,943.4351625,766.5065229166667,3379.9246257731957,511.21209381443373,3422.6602989583334,595.4172546391753,2203.1915416666666,2250.9253197916664,525.257520618557,862.7990783505157,2458.0281697916666,1366.3705604166669,1473.6201103092787,402194.687771134,382.8546312500002,263.94330412371136,540.1756479166665,235.08834432989696,223.95455520833335
12.5,22274.135897402964,20620.125881160115,1654.0100162428498,313.89572187499994,1022.0714842105265,826.2870126315789,3470.4041229166655,525.9979604166673,3470.9755947368417,640.7328416666668,2404.0149947368423,2438.625783157895,545.353582291667,916.5420437500003,2636.949349473684,1480.201772631579,1419.378466666667,421657.17603437504,393.25765473684226,272.878221875,564.7364073684209,247.7484385416667,235.49046000000004
13.0,23306.262997079506,21377.845208376548,1928.4177887029582,334.8820663157895,1105.7279117021276,887.5502712765956,3530.5642778947367,542.3282905263164,3513.4470212765964,683.1868494736842,2612.1588712765956,2629.982023404256,566.1365305263163,948.3283410526316,2818.769879787234,1613.3557414893621,1361.3100547368424,441176.07923473686,408.5571074468086,291.0172305263158,590.446429787234,263.7764147368422,247.6553936170213
13.5,24378.804239290206,22135.564535592977,2243.239703697229,354.57552234042544,1193.0186322580646,951.9736247311826,3583.6844255319143,561.8210829787242,3578.866800000001,723.9978223404252,2832.359156989247,2835.183655913978,583.1478021276599,1022.6984978723401,3010.2365182795684,1756.9468440860217,1287.9813287234044,461415.4044425532,428.3635720430109,315.09517446808513,609.8731021505375,272.1510212765959,258.7057591397851
14.0,25467.396318989595,22893.283862809407,2574.112456180188,373.9828064516127,1290.0501630434783,1019.7971728260869,3672.3293537634404,582.0921322580655,3661.525245652175,766.2694698924728,3065.580065217391,3050.7538239130436,598.9463827956993,1026.7060430107529,3198.547540217392,1902.107492391304,1208.8092903225809,481977.80709354836,450.36614347826094,327.8284634408602,619.1751326086955,283.12322365591416,272.129341304348
14.5,26574.283869741997,23651.003190025836,2923.280679716161,389.5407619565217,1392.549754945055,1079.446446153846,3734.90387173913,598.7438304347835,3746.615262637363,802.3137945652172,3303.693563736264,3278.903475824176,621.9814000000003,987.8758336956521,3384.765703296703,2056.3117175824177,1133.8383847826087,502951.95697500004,475.3866626373628,348.6941402173913,621.8105131868132,291.2316771739132,285.11362527472545
15.0,27703.466493925516,24408.72251724227,3294.7439766832467,405.0179285714285,1488.9120077777777,1139.4354366666666,3807.5428494505495,609.1367307692317,3837.269465555556,841.8122791208789,3542.3826711111114,3520.0369900000005,632.277327472528,1138.519202197802,3574.738132222222,2221.568618888889,1075.7555120879117,524148.4540681318,496.6709333333335,366.18134615384616,629.6851033333332,299.02349010989025,294.9097855555557
